symbol,pdf_url,suspension_date,reason
NIPS.JK,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202502/4d251355fd_19ab06d3e4.pdf,,Keterlambatan pembayaran biaya pencatatan tahunan 2025
PRAS.JK,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202502/4d251355fd_19ab06d3e4.pdf,,Keterlambatan pembayaran biaya pencatatan tahunan 2025
RONY.JK,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202502/4d251355fd_19ab06d3e4.pdf,,Keterlambatan pembayaran biaya pencatatan tahunan 2025
FORZ.JK,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202501/ce653389b1_cfd5536924.pdf,,Belum memenuhi ketentuan V.1.1. dan/atau V.1.2. peraturan bursa nomor I-A
HDTX.JK,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202501/ce653389b1_cfd5536924.pdf,,Belum memenuhi ketentuan V.1.1. dan/atau V.1.2. peraturan bursa nomor I-A
KPAL.JK,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202501/ce653389b1_cfd5536924.pdf,,Belum memenuhi ketentuan V.1.1. dan/atau V.1.2. peraturan bursa nomor I-A
KPAS.JK,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202501/ce653389b1_cfd5536924.pdf,,Belum memenuhi ketentuan V.1.1. dan/atau V.1.2. peraturan bursa nomor I-A
KRAH.JK,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202501/ce653389b1_cfd5536924.pdf,,Belum memenuhi ketentuan V.1.1. dan/atau V.1.2. peraturan bursa nomor I-A
MAMI.JK,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202501/ce653389b1_cfd5536924.pdf,,Belum memenuhi ketentuan V.1.1. dan/atau V.1.2. peraturan bursa nomor I-A
MYRX.JK,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202501/ce653389b1_cfd5536924.pdf,,Belum memenuhi ketentuan V.1.1. dan/atau V.1.2. peraturan bursa nomor I-A
PRAS.JK,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202501/ce653389b1_cfd5536924.pdf,,Belum memenuhi ketentuan V.1.1. dan/atau V.1.2. peraturan bursa nomor I-A
MENN.JK,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202510/4f9109ddf3_60ad41ef7b.pdf,29 Oktober 2025,
ALTO.JK,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202510/fed47be7bc_96225a718f.pdf,30 Juni 2025,
